idxYear, Jan, Feb, Marc, P
310,2005  0.643  0.527  0.640  0.626  0.550  0.567  0.553  0.582  0.631  0.680  0.636  0.595  0.602
312,2006  0.494  0.636  0.531  0.476  0.464  0.570  0.476  0.631  0.545  0.609  0.655  0.709  0.566
314,2007  0.889  0.630  0.583  0.718  0.572  0.497  0.559  0.579  0.506  0.553  0.528  0.412  0.586
316,2008  0.204  0.260  0.603  0.441  0.428  0.377  0.531  0.452  0.545  0.590  0.617  0.462  0.459
318,2009  0.580  0.457  0.439  0.521  0.548  0.620  0.676  0.619  0.677  0.617  0.694  0.632  0.590
320,2010  0.706  0.779  0.851  0.819  0.708  0.643  0.611  0.609  0.560  0.639  0.728  0.430  0.674
322,2011  0.452  0.423  0.549  0.591  0.438  0.541  0.639  0.651  0.536  0.574  0.507  0.490  0.533
324,2012  0.365  0.456  0.416  0.603  0.652  0.625  0.566  0.645  0.635  0.724  0.716  0.456  0.572
326,2013  0.602  0.519  0.576  0.566  0.551  0.656  0.585  0.636  0.719  0.648  0.765  0.600  0.619
328,2014  0.664  0.483  0.681  0.730  0.728  0.614  0.581  0.729  0.761  0.738  0.629  0.678  0.668
330,2015  0.732  0.773  0.787  0.684  0.726  0.752  0.710  0.799  0.818  1.014  0.985  1.035  0.818
332,2016  1.079  1.216  1.176  1.023  0.873  0.769  0.761  0.940  0.837  0.812  0.839  0.772  0.925
334,2017  0.947  1.062  1.044  0.835  0.775  0.650  0.793  0.802  0.723  0.804  0.795  0.806  0.836
336,2018  0.707  0.776  0.776  0.811  0.701  0.727  0.724  0.734  0.677  0.858  0.732  0.816  0.753
338,2019  0.813  0.835  1.077  0.925  0.777  0.808  0.851  0.836  0.813  0.954  0.933  1.026  0.887
340,2020  1.058  1.110  1.075  1.050  0.894  0.811  0.822  0.809  0.867  0.799  1.007  0.692  0.916
342,2021  0.707  0.565  0.737  0.757  0.698  0.718  0.791  0.809  0.875  0.928  0.864  0.758  0.767
344,2022  0.782  0.753  0.890  0.767  0.750  0.847  0.778  0.875  0.816  0.951  0.669  0.745  0.802
346,2023  0.783  0.886  1.129  0.925  0.880  1.059  1.161  1.213  1.348  1.327  1.342  1.264  1.110
348,2024  1.146  1.276  1.221  1.207  1.061  1.094  1.130  1.216  1.143  1.201  1.210  1.129  1.169
350,2025  1.256  1.116  1.161  1.090  0.952  0.882  0.931  1.016  1.102  1.090  1.075  0.918  1.049
